Shape_Leng,Shape_Area,ADM2_EN,ADM2_PCODE,,Rur_Pctg
1.413403014,0.05813473,Kitagwenda,UG4122,2017,131.8722605
3.744889072,0.33786463,Kitgum,UG3077,2017,51.12464855
1.428793814,0.062118996,Koboko,UG3078,2017,81.06817195
1.820959074,0.08711746,Kole,UG3079,2017,64.78494624
3.034120953,0.29536707,Kotido,UG3080,2017,47.46376812
1.62124805,0.08733139,Kumi,UG2049,2017,75.23992322
1.917734962,0.11444744,Kwania,UG3081,2017,129.5625943
1.87700731,0.06416624,Kween,UG2050,2017,309.297725
2.277781851,0.200216361,Kyankwanzi,UG1012,2017,74.10423453
2.082649525,0.14187398,Kyegegwa,UG4123,2017,30.58487874
2.411433721,0.190597892,Kyenjojo,UG4124,2017,40.66822728
2.52046668,0.198948184,Kyotera,UG1013,2017,78.52
3.393283059,0.443142594,Lamwo,UG3082,2017,212.0863309
2.59654181,0.107509661,Lira,UG3083,2017,42.9057117
1.474225349,0.052785298,Luuka,UG2051,2017,32.59229853
2.560916063,0.180180662,Luwero,UG1014,2017,26.50972364
1.660018526,0.08322437,Lwengo,UG1015,2017,41.5428167
1.330344315,0.070352932,Lyantonde,UG1016,2017,148.3267717
2.384501604,0.164224636,Madi Okollo,UG3084,2017,74.8348745
0.836962584,0.019310678,Manafwa,UG2052,2017,98.22954823
1.065480794,0.035729868,Maracha,UG3085,2017,223.3739837
2.213732745,0.178594309,Masaka,UG1017,2017,72.92327204
3.780475115,0.318841248,Masindi,UG4125,2017,30.94783715
4.215270948,0.274828165,Mayuge,UG2053,2017,27.3731112
1.229772943,0.042089681,Mbale,UG2054,2017,37.51871257
1.9217556,0.100872074,Mbarara,UG4126,2017,24.79541735
1.313306974,0.044199868,Mitooma,UG4127,2017,42.47881356
2.074128543,0.128639702,Mityana,UG1018,2017,48.60950174
3.050879097,0.288088876,Moroto,UG3086,2017,281.283906
1.525597164,0.084742844,Moyo,UG3087,2017,373.9002933
2.209552984,0.123905508,Mpigi,UG1019,2017,27.80269058
2.677134101,0.220286501,Mubende,UG1020,2017,20.02516251
2.803626925,0.226170938,Mukono,UG1021,2017,26.64086687
2.568917896,0.146700583,Nabilatuk,UG3088,2017,186.2996159
3.022065271,0.193348343,Nakapiripirit,UG3089,2017,170.5115346
2.856821522,0.282561576,Nakaseke,UG1022,2017,85.09548207
2.836159024,0.285318974,Nakasongola,UG1023,2017,110.9873418
3.578744769,0.379221196,Namayingo,UG2055,2017,56.55447298
0.882804937,0.024348258,Namisindwa,UG2056,2017,90.93444909
1.234640781,0.066182557,Namutumba,UG2057,2017,43.01152738
3.186270885,0.36404629,Napak,UG3090,2017,30.6
1.894021816,0.080840923,Nebbi,UG3091,2017,126.9571924
1.256158045,0.058621006,Ngora,UG2058,2017,84.78118877
2.16461331,0.113947446,Ntoroko,UG4128,2017,53.71669004
2.271859251,0.164320473,Ntungamo,UG4129,2017,26.74623361
3.846901875,0.385188576,Nwoya,UG3092,2017,51.58910329
1.318403177,0.068933492,Obongi,UG3093,2017,705.856833
2.288417268,0.126538192,Omoro,UG3094,2017,78.90580936
2.842078242,0.134165304,Otuke,UG3095,2017,111.3945578
2.23390354,0.183162331,Oyam,UG3096,2017,59.03961585
3.457140341,0.268570372,Pader,UG3097,2017,118.8568376
1.728713379,0.084449984,Pakwach,UG3098,2017,50.99488346
1.372127264,0.069822034,Pallisa,UG2059,2017,37.95432615
1.695714872,0.129324617,Rakai,UG1024,2017,29.4495103
1.435936549,0.056055127,Rubanda,UG4130,2017,127.9368213
1.902286032,0.119361174,Rubirizi,UG4131,2017,62.65590609
1.310459212,0.034706241,Rukiga,UG4132,2017,275.5339806
2.660483798,0.124248118,Rukungiri,UG4133,2017,48.75038568
1.141960513,0.046691526,Rwampara,UG4134,2017,67.01030928
1.805693007,0.159375885,Serere,UG2060,2017,62.50781739
1.35350802,0.056797298,Sheema,UG4135,2017,123.3863424
1.187717895,0.033003697,Sironko,UG2061,2017,77.91149068
1.594951001,0.115110677,Soroti,UG2062,2017,118.0847819
2.45240522,0.190139434,Ssembabule,UG1025,2017,126.4005859
1.667070079,0.096823346,Tororo,UG2063,2017,73.01387137
3.134473062,0.228198057,Wakiso,UG1026,2017,7.986515732
2.286294121,0.189448106,Yumbe,UG3099,2017,25.5176075
1.56626263,0.072410415,Zombo,UG3100,2017,41.39123751
2.712933404,0.223823529,Abim,UG3064,2018,69.53010279
2.711109817,0.253353215,Adjumani,UG3065,2018,73.79518072
3.132891013,0.285815844,Agago,UG3066,2018,71.66940789
2.87571126,0.126491804,Alebtong,UG3067,2018,88.74801902
1.88979405,0.145958766,Amolatar,UG3068,2018,81.72839506
2.82592117,0.132668001,Amudat,UG3069,2018,86.24296058
2.659590063,0.112382613,Amuria,UG2027,2018,88.0952381
4.619184698,0.292045432,Amuru,UG3070,2018,72.3920427
2.309675522,0.145564552,Apac,UG3071,2018,60.41568257
3.163190673,0.188680135,Arua,UG3072,2018,22.29084784
0.936453267,0.033399586,Budaka,UG2028,2018,91.043515
0.901825092,0.025791133,Bududa,UG2029,2018,123.4324759
1.597581562,0.085603895,Bugiri,UG2030,2018,30.97325242
0.987886114,0.030798884,Bugweri,UG2031,2018,66.30076839
1.290288577,0.055823918,Buhweju,UG4101,2018,85.18791452
1.689525941,0.11806088,Buikwe,UG1001,2018,46.04426912
1.503210107,0.08533485,Bukedea,UG2032,2018,40.6864797
0.975527912,0.048731501,Bukomansimbi,UG1002,2018,54.80955455
1.097823573,0.045513301,Bukwo,UG2033,2018,175.3931545
1.978812247,0.056378242,Bulambuli,UG2034,2018,43.30633635
2.162868569,0.164778846,Buliisa,UG4102,2018,128.6029412
1.653935428,0.0691696,Bundibugyo,UG4103,2018,39.45578231
1.348796226,0.040480411,Bunyangabu,UG4104,2018,80.74034335
1.769565256,0.073535401,Bushenyi,UG4105,2018,111.7767747
1.434232304,0.061930726,Busia,UG2035,2018,56.77241379
1.311332247,0.053193464,Butaleja,UG2036,2018,24.70546233
1.581540971,0.032951561,Butambala,UG1003,2018,81.8957346
0.922719222,0.019333647,Butebo,UG2037,2018,71.44067797
3.939933433,0.781533339,Buvuma,UG1004,2018,249.6491228
