name,year,rate,code
WASHINGTON HEIGHTS,2005,2.4,74
MOUNT GREENWOOD,2005,1.3,75
MORGAN PARK,2005,1.9,76
EDGEWATER,2005,1.9,77
ROGERS PARK,2006,1.9,1
WEST RIDGE,2006,1.8,2
UPTOWN,2006,1.9,3
LINCOLN SQUARE,2006,0.6,4
NORTH CENTER,2006,1.4,5
LAKE VIEW,2006,0.8,6
LINCOLN PARK,2006,0.4,7
NEAR NORTH SIDE,2006,1,8
EDISON PARK,2006,0,9
NORWOOD PARK,2006,0.5,10
JEFFERSON PARK,2006,0.8,11
FOREST GLEN,2006,0,12
NORTH PARK,2006,1.1,13
ALBANY PARK,2006,1.4,14
PORTAGE PARK,2006,1.3,15
IRVING PARK,2006,0.8,16
DUNNING,2006,0.9,17
MONTCLARE,2006,1.8,18
BELMONT CRAGIN,2006,1.5,19
HERMOSA,2006,1.7,20
AVONDALE,2006,1.6,21
LOGAN SQUARE,2006,1.9,22
HUMBOLDT PARK,2006,3.9,23
WEST TOWN,2006,1.6,24
AUSTIN,2006,4.8,25
WEST GARFIELD PARK,2006,5.6,26
EAST GARFIELD PARK,2006,3,27
NEAR WEST SIDE,2006,1.9,28
NORTH LAWNDALE,2006,4.3,29
SOUTH LAWNDALE,2006,1.9,30
LOWER WEST SIDE,2006,1.4,31
LOOP,2006,0.7,32
NEAR SOUTH SIDE,2006,1.3,33
ARMOUR SQUARE,2006,0.9,34
DOUGLAS,2006,0.8,35
OAKLAND,2006,0,36
FULLER PARK,2006,7.2,37
GRAND BOULEVARD,2006,2,38
KENWOOD,2006,1,39
WASHINGTON PARK,2006,4.3,40
HYDE PARK,2006,1.8,41
WOODLAWN,2006,1.9,42
SOUTH SHORE,2006,2.8,43
CHATHAM,2006,2.6,44
AVALON PARK,2006,2.4,45
SOUTH CHICAGO,2006,4.2,46
BURNSIDE,2006,2.8,47
CALUMET HEIGHTS,2006,1.1,48
ROSELAND,2006,4.9,49
PULLMAN,2006,2.9,50
SOUTH DEERING,2006,1.7,51
EAST SIDE,2006,2.3,52
WEST PULLMAN,2006,4.2,53
RIVERDALE,2006,0,54
HEGEWISCH,2006,1.1,55
GARFIELD RIDGE,2006,0.5,56
ARCHER HEIGHTS,2006,0.8,57
OHARE,2006,0.5,58
BRIGHTON PARK,2006,2.1,59
MCKINLEY PARK,2006,0.8,60
BRIDGEPORT,2006,0.5,61
NEW CITY,2006,3.4,62
WEST ELSDON,2006,0.6,63
GAGE PARK,2006,2.1,64
CLEARING,2006,0,65
WEST LAWN,2006,0.6,66
CHICAGO LAWN,2006,4,67
WEST ENGLEWOOD,2006,5.9,68
ENGLEWOOD,2006,6,69
GREATER GRAND CROSSING,2006,3.4,70
ASHBURN,2006,0.5,71
AUBURN GRESHAM,2006,2.8,72
BEVERLY,2006,1.1,73
WASHINGTON HEIGHTS,2006,2.9,74
MOUNT GREENWOOD,2006,0.5,75
MORGAN PARK,2006,0.4,76
EDGEWATER,2006,1.9,77
ROGERS PARK,2007,1.5,1
WEST RIDGE,2007,1.4,2
UPTOWN,2007,0.8,3
LINCOLN SQUARE,2007,1.8,4
NORTH CENTER,2007,0.4,5
LAKE VIEW,2007,1,6
LINCOLN PARK,2007,0.7,7
NEAR NORTH SIDE,2007,0.4,8
EDISON PARK,2007,0,9
NORWOOD PARK,2007,0.9,10
JEFFERSON PARK,2007,1.1,11
FOREST GLEN,2007,0,12
NORTH PARK,2007,1.4,13
ALBANY PARK,2007,1.4,14
PORTAGE PARK,2007,1.3,15
IRVING PARK,2007,1.5,16
DUNNING,2007,0.6,17
MONTCLARE,2007,0.7,18
BELMONT CRAGIN,2007,1.3,19
HERMOSA,2007,1.8,20
AVONDALE,2007,1.5,21
LOGAN SQUARE,2007,2,22
HUMBOLDT PARK,2007,3.3,23
WEST TOWN,2007,1.1,24
AUSTIN,2007,4.9,25
WEST GARFIELD PARK,2007,6,26
EAST GARFIELD PARK,2007,2.9,27
NEAR WEST SIDE,2007,1,28
NORTH LAWNDALE,2007,2.8,29
SOUTH LAWNDALE,2007,1.6,30
LOWER WEST SIDE,2007,1.2,31
LOOP,2007,0,32
NEAR SOUTH SIDE,2007,1,33
ARMOUR SQUARE,2007,0,34
DOUGLAS,2007,0.4,35
OAKLAND,2007,0,36
FULLER PARK,2007,5.9,37
GRAND BOULEVARD,2007,2.7,38
KENWOOD,2007,1.3,39
WASHINGTON PARK,2007,3.2,40
HYDE PARK,2007,2.3,41
WOODLAWN,2007,2.3,42
SOUTH SHORE,2007,2.8,43
CHATHAM,2007,2.7,44
AVALON PARK,2007,4,45
SOUTH CHICAGO,2007,2.5,46
BURNSIDE,2007,2.9,47
CALUMET HEIGHTS,2007,2.3,48
ROSELAND,2007,4,49
PULLMAN,2007,2,50
SOUTH DEERING,2007,1.5,51
EAST SIDE,2007,1.4,52
WEST PULLMAN,2007,3,53
RIVERDALE,2007,0,54
HEGEWISCH,2007,1.4,55
GARFIELD RIDGE,2007,0.1,56
ARCHER HEIGHTS,2007,0.7,57
OHARE,2007,0,58
BRIGHTON PARK,2007,1.5,59
MCKINLEY PARK,2007,0.4,60
BRIDGEPORT,2007,0.5,61
NEW CITY,2007,3.2,62
WEST ELSDON,2007,0.4,63
GAGE PARK,2007,1.4,64
CLEARING,2007,0.7,65
WEST LAWN,2007,0.6,66
CHICAGO LAWN,2007,2.8,67
WEST ENGLEWOOD,2007,4.7,68
ENGLEWOOD,2007,4.7,69
GREATER GRAND CROSSING,2007,3.4,70
ASHBURN,2007,0.3,71
AUBURN GRESHAM,2007,3.2,72
BEVERLY,2007,0.5,73
WASHINGTON HEIGHTS,2007,1.8,74
MOUNT GREENWOOD,2007,0,75
MORGAN PARK,2007,1.8,76
EDGEWATER,2007,1.5,77
ROGERS PARK,2008,1.1,1
WEST RIDGE,2008,0.7,2
UPTOWN,2008,0.7,3
LINCOLN SQUARE,2008,0.7,4
NORTH CENTER,2008,0.4,5
LAKE VIEW,2008,0,6
LINCOLN PARK,2008,0.3,7
NEAR NORTH SIDE,2008,0.2,8
EDISON PARK,2008,0,9
NORWOOD PARK,2008,0.7,10
JEFFERSON PARK,2008,0.8,11
FOREST GLEN,2008,0,12
NORTH PARK,2008,0.2,13
ALBANY PARK,2008,1.2,14
PORTAGE PARK,2008,0.8,15
IRVING PARK,2008,0.6,16
DUNNING,2008,0.8,17
MONTCLARE,2008,0.2,18
BELMONT CRAGIN,2008,1.6,19
HERMOSA,2008,1.6,20
AVONDALE,2008,1.9,21
LOGAN SQUARE,2008,1.4,22
HUMBOLDT PARK,2008,2.1,23
WEST TOWN,2008,1,24
AUSTIN,2008,3.4,25
WEST GARFIELD PARK,2008,3.1,26
EAST GARFIELD PARK,2008,1.9,27
NEAR WEST SIDE,2008,1.3,28
NORTH LAWNDALE,2008,2.1,29
SOUTH LAWNDALE,2008,1.1,30
LOWER WEST SIDE,2008,0.7,31
LOOP,2008,0,32
NEAR SOUTH SIDE,2008,0.4,33
ARMOUR SQUARE,2008,0.6,34
DOUGLAS,2008,1.1,35
OAKLAND,2008,0,36
FULLER PARK,2008,2.3,37
GRAND BOULEVARD,2008,2.7,38
KENWOOD,2008,0.5,39
WASHINGTON PARK,2008,2,40
HYDE PARK,2008,1.3,41
WOODLAWN,2008,1.6,42
SOUTH SHORE,2008,1.9,43
CHATHAM,2008,1.8,44
AVALON PARK,2008,0.9,45
SOUTH CHICAGO,2008,1.4,46
BURNSIDE,2008,0.9,47
CALUMET HEIGHTS,2008,1.7,48
ROSELAND,2008,2,49
PULLMAN,2008,2.3,50
SOUTH DEERING,2008,0.5,51
EAST SIDE,2008,1.3,52
WEST PULLMAN,2008,2.4,53
RIVERDALE,2008,0,54
HEGEWISCH,2008,0,55
GARFIELD RIDGE,2008,0.6,56
ARCHER HEIGHTS,2008,0.8,57
OHARE,2008,0.5,58
BRIGHTON PARK,2008,1.3,59
MCKINLEY PARK,2008,0.8,60
BRIDGEPORT,2008,0.2,61
NEW CITY,2008,1.6,62
WEST ELSDON,2008,0.5,63
GAGE PARK,2008,1.2,64
CLEARING,2008,0.9,65
WEST LAWN,2008,0.4,66
CHICAGO LAWN,2008,2.1,67
WEST ENGLEWOOD,2008,2.9,68
